ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,genre
2024-04-01T09:16:32Z,ios,309638,TR,159.20.69.4,The Evil That Men Do - 2015 Remaster,Iron Maiden,Seventh Son of a Seventh Son,spotify:track:0S90LE5Z8FOdbui3tLak6t,,,,clickrow,unexpected-exit-while-paused,False,False,False,1711962683,False,"alternative metal, hard rock, metal, nwobhm, rock"
2024-04-02T07:20:42Z,ios,5572,TR,159.20.69.4,The Evil That Men Do - 2015 Remaster,Iron Maiden,Seventh Son of a Seventh Son,spotify:track:0S90LE5Z8FOdbui3tLak6t,,,,appload,endplay,False,True,False,1712042434,False,"alternative metal, hard rock, metal, nwobhm, rock"
2024-04-02T07:24:27Z,ios,225790,TR,159.20.69.4,The Trooper - 2015 Remaster,Iron Maiden,Piece of Mind,spotify:track:4OROzZUy6gOWN4UGQVaZMF,,,,clickrow,endplay,False,True,False,1712042443,False,"alternative metal, hard rock, metal, nwobhm, rock"
2024-04-02T07:26:39Z,ios,131099,TR,159.20.69.4,Gods Of War Arise,Amon Amarth,With Oden On Our Side,spotify:track:7kVDBjbK8I73acCoaAbMi5,,,,clickrow,endplay,False,True,False,1712042668,False,"groove metal, melodic death metal, metal, power metal, speed metal, swedish death metal, swedish melodeath, swedish metal, tolkien metal, viking metal"
2024-04-02T07:26:41Z,ios,1462,TR,159.20.69.4,Battle Hymn,Manowar,Battle Hymns,spotify:track:1VRnW4Qk8PP3EGGFMs6Z32,,,,clickrow,endplay,False,True,False,1712042799,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-02T07:32:46Z,ios,252764,TR,159.20.69.4,Warriors of the World United,Manowar,Warriors of the World,spotify:track:02zclmxRto3GAUBdtV7D8i,,,,clickrow,trackdone,False,False,False,1712042801,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-02T07:33:47Z,ios,59462,TR,159.20.69.4,Fighting the World,Manowar,Fighting the World,spotify:track:2tjb6V24kf6sDUdEFNf3m9,,,,trackdone,backbtn,False,True,False,1712043167,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-02T07:45:09Z,ios,610406,TR,159.20.69.4,Warriors of the World United,Manowar,Warriors of the World,spotify:track:02zclmxRto3GAUBdtV7D8i,,,,backbtn,endplay,False,True,False,1712043228,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-02T08:00:31Z,ios,634392,TR,159.20.69.4,I Believe,Manowar,The Dawn of Battle,spotify:track:652YlUWLpusTJvsgEX3zkU,,,,clickrow,endplay,False,True,False,1712043910,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-02T08:17:58Z,ios,178445,TR,159.20.69.4,For the Glory of...,Testament,The Formation of Damnation,spotify:track:6J4VOoKhRZFNeWkVH0WTzH,,,,clickrow,endplay,False,True,False,1712044831,False,"alternative metal, groove metal, hard rock, metal, old school thrash, thrash metal"
2024-04-02T08:21:13Z,ios,195094,TR,159.20.69.4,That's The Way It Is,Daniel Lanois,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:5ui44u6tEnipuke1eKYpMI,,,,clickrow,endplay,False,True,False,1712045879,False,"ambient country, canadian americana, melancholia, pastoral"
2024-04-02T08:24:15Z,ios,181765,TR,159.20.69.23,Unshaken,D'Angelo,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:3okk47CKOqAm1TXmVPzNYf,,,,clickrow,unexpected-exit-while-paused,False,False,False,1712046074,False,dark r&b
2024-04-02T13:51:15Z,windows,139880,TR,159.20.69.21,Forest Rain,Rain Recordings,Peaceful Rain Recordings,spotify:track:6ADPydLM8fmi6fjO9ZXAb8,,,,playbtn,endplay,False,True,False,1712065734,False,"rain, water"
2024-04-02T13:55:08Z,windows,233197,TR,159.20.69.21,Unshaken,D'Angelo,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:3okk47CKOqAm1TXmVPzNYf,,,,playbtn,trackdone,False,False,False,1712065875,False,dark r&b
2024-04-02T13:59:02Z,windows,233197,TR,159.20.69.21,Unshaken,D'Angelo,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:3okk47CKOqAm1TXmVPzNYf,,,,trackdone,trackdone,False,False,False,1712066108,False,dark r&b
2024-04-02T14:02:55Z,windows,233197,TR,159.20.69.21,Unshaken,D'Angelo,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:3okk47CKOqAm1TXmVPzNYf,,,,trackdone,trackdone,False,False,False,1712066341,False,dark r&b
2024-04-02T16:39:27Z,windows,61748,TR,159.20.69.21,Unshaken,D'Angelo,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:3okk47CKOqAm1TXmVPzNYf,,,,trackdone,endplay,False,True,False,1712066575,False,dark r&b
2024-04-02T16:53:39Z,windows,650623,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,playbtn,trackdone,False,False,False,1712075968,False,"gymcore, hard alternative"
2024-04-02T16:57:26Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,trackdone,False,False,False,1712076818,False,"gymcore, hard alternative"
2024-04-02T17:01:14Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,trackdone,False,False,False,1712077046,False,"gymcore, hard alternative"
2024-04-02T17:01:18Z,windows,372,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,endplay,False,True,False,1712077274,False,"gymcore, hard alternative"
2024-04-02T17:01:19Z,windows,840,TR,159.20.69.21,Am I Evil?,Metallica,Garage Inc.,spotify:track:3T5kYazNB0f72vswYOSq4l,,,,clickrow,endplay,False,True,False,1712077278,False,"hard rock, metal, old school thrash, rock, thrash metal"
2024-04-02T17:04:47Z,windows,208666,TR,159.20.69.21,Slave to the Grind,Skid Row,Slave to the Grind,spotify:track:1PWyfvKa5mrdWkqvms3tX7,,,,clickrow,trackdone,False,False,False,1712077279,False,"album rock, glam metal, hard rock, metal, rock"
2024-04-02T17:05:50Z,windows,60893,TR,159.20.69.21,Harvester Of Sorrow,Metallica,...And Justice For All,spotify:track:1V3wAgMB4ESaN4rStlrUNz,,,,trackdone,endplay,False,True,False,1712077487,False,"hard rock, metal, old school thrash, rock, thrash metal"
2024-04-02T17:05:51Z,windows,1980,TR,159.20.69.21,Am I Evil?,Metallica,Garage Inc.,spotify:track:3T5kYazNB0f72vswYOSq4l,,,,clickrow,endplay,False,True,False,1712077549,False,"hard rock, metal, old school thrash, rock, thrash metal"
2024-04-02T17:09:38Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,clickrow,trackdone,False,False,False,1712077551,False,"gymcore, hard alternative"
2024-04-02T17:09:42Z,windows,2973,TR,159.20.69.21,In the Name of Tragedy,Motörhead,Inferno,spotify:track:0jVKdXM4LQm94SP33rNbi9,,,,trackdone,endplay,False,True,False,1712077778,False,"alternative metal, hard rock, metal, nu metal, rock, speed metal"
2024-04-02T17:13:29Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,clickrow,trackdone,False,False,False,1712077782,False,"gymcore, hard alternative"
2024-04-02T17:13:34Z,windows,3603,TR,159.20.69.21,In the Name of Tragedy,Motörhead,Inferno,spotify:track:0jVKdXM4LQm94SP33rNbi9,,,,trackdone,endplay,False,True,False,1712078009,False,"alternative metal, hard rock, metal, nu metal, rock, speed metal"
